08/07/2016 - 09:28:38 PM	Ethan(Sith Master) used ULX command ' noclip'
08/07/2016 - 09:28:38 PM	DARTH VADER(Darth Vader) said '!goto tom'
08/07/2016 - 09:28:38 PM	DARTH VADER(Darth Vader) used ULX command ' goto tom'
08/07/2016 - 09:28:41 PM	Darth Tom(Darth) entered '_DarkRP_DoAnimation'
08/07/2016 - 09:28:43 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:43 PM	Ethan(Sith Master) entered 'discs_request'
08/07/2016 - 09:28:44 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:28:44 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:47 PM	Darth Tom(Darth) said 'yes'
08/07/2016 - 09:28:49 PM	Darth Tom(Darth) entered 'rb655_select_force'
08/07/2016 - 09:28:52 PM	Ethan(AdminOnDuty) changed his team from 'Sith Master' to 'AdminOnDuty'
08/07/2016 - 09:28:53 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:28:53 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:28:54 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:28:54 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:28:56 PM	Ethan(AdminOnDuty) used ULX command ' noclip'
08/07/2016 - 09:29:02 PM	Ethan(AdminOnDuty) used ULX command ' noclip'
08/07/2016 - 09:29:03 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:03 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:04 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:04 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:29:12 PM	Ethan(AdminOnDuty) used ULX command ' noclip'
08/07/2016 - 09:29:13 PM	Ethan(AdminOnDuty) used ULX command ' noclip'
08/07/2016 - 09:29:13 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:13 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:14 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:14 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:29:23 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:23 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:24 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:24 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:29:33 PM	Darth Tom(Darth) said 'I will donate again if I can visit mmigrso because Im using migros to upload my money to my card'
08/07/2016 - 09:29:33 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:33 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:34 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:34 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:29:35 PM	Darth Tom(Darth) entered 'rb655_select_force'
08/07/2016 - 09:29:43 PM	Darth Tom(Darth) entered 'rb655_select_force'
08/07/2016 - 09:29:43 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:43 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:44 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:44 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:29:50 PM	Darth Tom(Darth) said 'ethan'
08/07/2016 - 09:29:53 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:29:53 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:29:54 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:29:54 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:30:03 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:30:03 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:30:04 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:30:04 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:30:08 PM	Darth Tom(Darth) said 'set me 7000 hp or make me sp for sec because I know how to set it without restart'
08/07/2016 - 09:30:13 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:30:13 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:30:13 PM	Darth Tom(Darth) said 'superadmim'
08/07/2016 - 09:30:14 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:30:14 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:30:16 PM	Darth Tom(Darth) said 'min'
08/07/2016 - 09:30:19 PM	Darth Tom(Darth) entered 'rb655_select_force'
08/07/2016 - 09:30:23 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:30:23 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:30:24 PM	DARTH VADER(Darth Vader) entered 'discs_request'
08/07/2016 - 09:30:24 PM	Darth Tom(Darth) entered 'discs_request'
08/07/2016 - 09:30:33 PM	SKT REG COMM Sloth(Shock Trooper REG Commander) entered 'discs_request'
08/07/2016 - 09:30:33 PM	Ethan(AdminOnDuty) entered 'discs_request'
08/07/2016 - 09:30:34 PM	DARTH VADER(Darth Vader) entered 'discs_request'
