07/07/2016 - 09:32:16 PM	TP PVT 7598 Duck(Recruit) said '/name ST PVT 7598 Duck'
07/07/2016 - 09:32:16 PM	TP PVT 7598 Duck(Recruit) changed his name from 'TP PVT 7598 Duck' to 'ST PVT 7598 Duck'
07/07/2016 - 09:32:16 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:16 PM	Sloth(Joining/Connecting) connected from the server
07/07/2016 - 09:32:16 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:17 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:18 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:19 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:22 PM	MED REG COMM Ethan(Recruit) used ULX command ' bring Bobba Fett'
07/07/2016 - 09:32:24 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:32:24 PM	ST PVT 7598 Duck(Recruit) entered 'discs_request'
07/07/2016 - 09:32:25 PM	Bobba Fett(Boba Fett) said '!tp older'
07/07/2016 - 09:32:25 PM	Bobba Fett(Boba Fett) used ULX command ' teleport older'
07/07/2016 - 09:32:26 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:26 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:27 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:28 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:29 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:30 PM	Stealth Bot(REBEL) used ULX command ' bring Bobba Fetts Older brother'
07/07/2016 - 09:32:31 PM	MED REG COMM Ethan(Recruit) used ULX command ' bring Bobba Fetts Older brother'
07/07/2016 - 09:32:32 PM	Stealth Bot(REBEL) used ULX command ' bring Bobba Fett'
07/07/2016 - 09:32:32 PM	ST PVT 7598 Duck(Recruit) said '/name TP PVT 7598 Duck'
07/07/2016 - 09:32:32 PM	ST PVT 7598 Duck(Recruit) changed his name from 'ST PVT 7598 Duck' to 'TP PVT 7598 Duck'
07/07/2016 - 09:32:34 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:32:34 PM	Stealth Bot(REBEL) used ULX command ' noclip'
07/07/2016 - 09:32:34 PM	TP PVT 7598 Duck(Recruit) entered 'discs_request'
07/07/2016 - 09:32:36 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:36 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:37 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:32:37 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:37 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:32:38 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:32:38 PM	TP PVT 7598 Duck(TP PVT) changed his team from 'Recruit' to 'TP PVT'
07/07/2016 - 09:32:38 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:39 PM	Bobba Fett(Boba Fett) said '!tp older'
07/07/2016 - 09:32:39 PM	Bobba Fett(Boba Fett) used ULX command ' teleport older'
07/07/2016 - 09:32:39 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:44 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:32:44 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:32:46 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:46 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:47 PM	Bobba Fett(Boba Fett) said '!model older models/porky-da-corgi/starwars/mandalorians/bountyhunter.mdl'
07/07/2016 - 09:32:47 PM	Bobba Fett(Boba Fett) used ULX command ' model older models/porky-da-corgi/starwars/mandalorians/bountyhunter.mdl'
07/07/2016 - 09:32:47 PM	MED REG COMM Ethan(Recruit) said '// who ever needs me to TP them back to spawn pm me'
07/07/2016 - 09:32:47 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:48 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:32:48 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:49 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:32:54 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:32:54 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) said '// me pls'
07/07/2016 - 09:32:54 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:32:56 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:56 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:32:56 PM	ST PVT 9034 Marshall(StormTrooperPVT) said '/pm Ethan Spawn plz'
07/07/2016 - 09:32:57 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:32:58 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:32:58 PM	TP PVT 7598 Duck(TP PVT) said 'me ethan'
07/07/2016 - 09:32:58 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:32:59 PM	MED REG COMM Ethan(Recruit) said '!tp shrim'
07/07/2016 - 09:32:59 PM	MED REG COMM Ethan(Recruit) used ULX command ' teleport shrim'
07/07/2016 - 09:32:59 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:01 PM	Stealth Bot(REBEL) entered 'gm_spawnsent'
07/07/2016 - 09:33:02 PM	Bobba Fett(Boba Fett) entered 'gm_spawnsent'
07/07/2016 - 09:33:04 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:04 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:06 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:06 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:07 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:08 PM	Stealth Bot(REBEL) said '!menu'
07/07/2016 - 09:33:08 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:08 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:09 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:14 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:14 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:16 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:16 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:17 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:18 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:18 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:19 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:21 PM	Bobba Fett(Boba Fett) said '@ ethan can u turn up the lim'
07/07/2016 - 09:33:21 PM	Bobba Fett(Boba Fett) used ULX command ' asay ethan can u turn up the lim'
07/07/2016 - 09:33:22 PM	MED REG COMM Ethan(Recruit) used ULX command ' csay We are in the middle of starting the event, please stay in your place'
07/07/2016 - 09:33:24 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:24 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:26 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:26 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:27 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:28 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:28 PM	TP PVT 7598 Duck(TP PVT) said 'Ethan can u tp me'
07/07/2016 - 09:33:28 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:29 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:32 PM	[HURT] Something hurt Bobba Fett(Boba Fett) with 100 damage using Entity [581][spawned_weapon]
07/07/2016 - 09:33:32 PM	[HURT] Something hurt Bobba Fett(Boba Fett) with 10 damage using Entity [581][spawned_weapon]
07/07/2016 - 09:33:34 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:34 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:36 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:36 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:37 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:38 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:38 PM	Stealth Bot(REBEL) entered 'gm_spawnsent'
07/07/2016 - 09:33:38 PM	[HURT] SHDT COL 0512 Shrimp(ShadowTrooperCOL) hurt ST PVT 2410 Roy(StormTrooperPVT) with 35 damage using weapon_752bf3_t21
07/07/2016 - 09:33:38 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:39 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:44 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:44 PM	[HURT] ST PVT 2410 Roy(StormTrooperPVT) hurt SHDT COL 0512 Shrimp(ShadowTrooperCOL) with 6 damage using weapon_752bf3_e11
07/07/2016 - 09:33:44 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:46 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:46 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:46 PM	TEAM Chat : ST PVT 9034 Marshall(StormTrooperPVT) said '/ooc tp me to spawn :P'
07/07/2016 - 09:33:47 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:48 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:48 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:49 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:33:53 PM	MED REG COMM Ethan(Recruit) said '!hp @ 100'
07/07/2016 - 09:33:53 PM	MED REG COMM Ethan(Recruit) used ULX command ' hp @ 100'
07/07/2016 - 09:33:54 PM	Bobba Fett(Boba Fett) entered 'discs_request'
07/07/2016 - 09:33:54 PM	Bobba Fetts Older brother(Recruit) said '[RG] NievAchieve'
07/07/2016 - 09:33:54 PM	TP PVT 7598 Duck(TP PVT) entered 'discs_request'
07/07/2016 - 09:33:56 PM	ST PVT 2410 Roy(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:56 PM	ST PVT 9034 Marshall(StormTrooperPVT) entered 'discs_request'
07/07/2016 - 09:33:57 PM	Stealth Bot(REBEL) entered 'discs_request'
07/07/2016 - 09:33:58 PM	Bobba Fetts Older brother(Recruit) entered 'discs_request'
07/07/2016 - 09:33:58 PM	SHDT COL 0512 Shrimp(ShadowTrooperCOL) entered 'discs_request'
07/07/2016 - 09:33:59 PM	MED REG COMM Ethan(Recruit) entered 'discs_request'
07/07/2016 - 09:34:00 PM	Bobba Fett(Boba Fett) entered 'gm_giveswep'
07/07/2016 - 09:34:01 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:01 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
07/07/2016 - 09:34:02 PM	Bobba Fett(Boba Fett) used 'creator'
